# 숙어 배치 1 — 중학 기초 (a couple of ~ get to)
#   node scripts/add-entries.mjs data/batch-idiom-1.txt
#
# 형식:  표제어|품사|뜻|유의어;유의어|영어::해석|영어::해석|영어::해석
# 숙어의 품사는 phr. 로 통일한다. 뜻은 위키낱말사전과 대조해 적었다.

a couple of|phr.|두어 개의, 몇몇의|a few;some|I need a couple of minutes to finish this.::이걸 끝내려면 몇 분 정도 필요해.|We stayed there for a couple of days.::우리는 그곳에 이틀쯤 머물렀다.|She asked me a couple of questions.::그녀는 나에게 몇 가지 질문을 했다.
a kind of|phr.|일종의, ~같은 것|a sort of;a type of|A whale is a kind of mammal.::고래는 포유류의 일종이다.|It was a kind of game we invented ourselves.::그것은 우리가 직접 만든 일종의 놀이였다.|He felt a kind of relief when it ended.::그것이 끝났을 때 그는 일종의 안도감을 느꼈다.
a number of|phr.|다수의, 여러|several;many|A number of students joined the club.::여러 학생이 그 동아리에 들어왔다.|We found a number of mistakes in the report.::우리는 보고서에서 여러 오류를 발견했다.|A number of people were waiting outside.::여러 사람이 밖에서 기다리고 있었다.
a pair of|phr.|한 쌍의, 한 켤레의|a couple of|I bought a pair of shoes yesterday.::나는 어제 신발 한 켤레를 샀다.|She wore a pair of glasses.::그녀는 안경을 쓰고 있었다.|He needs a pair of clean socks.::그는 깨끗한 양말 한 켤레가 필요하다.
a piece of|phr.|한 조각의, 한 개의||Can I have a piece of cake?::케이크 한 조각 먹어도 될까요?|She gave me a piece of paper.::그녀는 나에게 종이 한 장을 주었다.|That was a useful piece of advice.::그것은 유용한 조언 하나였다.
after all|phr.|결국, 그래도 (생각과 달리)|in the end|It did not rain after all.::결국 비는 오지 않았다.|He came to the party after all.::그는 결국 파티에 왔다.|After all, we are still friends.::그래도 우리는 여전히 친구다.
agree with|phr.|~에 동의하다|accept;approve of|I agree with your opinion.::나는 네 의견에 동의한다.|Not everyone agreed with the plan.::모두가 그 계획에 동의한 것은 아니었다.|Do you agree with what she said?::너는 그녀가 한 말에 동의하니?
all day long|phr.|하루 종일||It rained all day long.::하루 종일 비가 내렸다.|She practiced the piano all day long.::그녀는 하루 종일 피아노를 연습했다.|The baby slept all day long.::아기는 하루 종일 잤다.
all kinds of|phr.|온갖 종류의|various;all sorts of|The market sells all kinds of fruit.::그 시장은 온갖 종류의 과일을 판다.|He has all kinds of excuses.::그는 온갖 핑계를 댄다.|We saw all kinds of birds in the park.::우리는 공원에서 온갖 새를 보았다.
all over the world|phr.|전 세계에서, 온 세계에|worldwide|People all over the world watched the game.::전 세계 사람들이 그 경기를 보았다.|This song is loved all over the world.::이 노래는 전 세계에서 사랑받는다.|She has traveled all over the world.::그녀는 전 세계를 여행했다.
all the time|phr.|늘, 언제나|always;constantly|He complains all the time.::그는 늘 불평한다.|The library is open all the time.::그 도서관은 언제나 열려 있다.|She was thinking about it all the time.::그녀는 그것을 계속 생각하고 있었다.
