레벨,갈래,표제어,한자,한자 확인,분류,뜻,예문,현대어 풀이,출처
중1-1,사자성어,고진감래,苦盡甘來,확인,,고생 끝에 즐거움이 찾아옴,시련을 이겨내고 고진감래를 맞이하는 소설의 결말.,,
중1-1,사자성어,과유불급,過猶不及,확인,,지나침은 미치지 못함과 같음,지나친 욕심은 과유불급임을 깨닫다.,,
중1-1,사자성어,구사일생,九死一生,확인,,죽을 고비를 여러 번 넘기고 겨우 살아남,전장에서 구사일생으로 살아돌아오다.,,
중1-1,사자성어,금상첨화,錦上添花,확인,,좋은 일에 좋은 일이 더해짐,성공에 포상까지 더해지니 금상첨화다.,,
중1-1,사자성어,금의환향,錦衣還鄕,확인,,출세하여 고향으로 돌아옴,시험에 합격하고 금의환향하는 선비.,,
중1-1,사자성어,기고만장,氣高萬丈,확인,,기세가 매우 높거나 씩씩함,승리 후 기고만장해진 인물의 태도.,,
중1-1,사자성어,다다익선,多多益善,확인,,많으면 많을수록 좋음,정보의 양이 다다익선은 아니라는 논지.,,
중1-1,사자성어,대기만성,大器晩成,확인,,큰 인물은 오랜 노력을 거쳐 완성됨,대기만성을 믿고 학문에 힘쓰다.,,
중1-1,사자성어,동병상련,同病相憐,확인,,같은 처지의 사람끼리 서로 불쌍히 여김,같은 처지의 인물들이 동병상련의 정을 느끼다.,,
중1-1,사자성어,동상이몽,同牀異夢,확인,,같은 처지에서 딴생각을 함,겉으로는 협력하나 속으로는 동상이몽이다.,,
중1-1,사자성어,막상막하,莫上莫下,확인,,우열을 가릴 수 없을 만큼 실력이 비슷함,두 실력자의 막상막하의 대결.,,
중1-1,사자성어,명약관화,明若觀火,확인,,불을 보듯 명확함,결과가 어떠할지는 명약관화한 일이다.,,
중1-1,사자성어,무릉도원,武陵桃源,확인,,신선이 사는 아름다운 이상향,현실의 시름을 잊을 수 있는 무릉도원을 꿈꾸다.,,
중1-1,개념어,감정이입,,,문학,화자의 감정을 자연물이나 제3의 대상에 투영하여 표현하는 기법,"""귀또리 저 귀또리 어이타 저 귀또리... 내 감정을 실어 찌르르 울어 예는구나.""",,
