레벨,단어,품사,뜻,유의어,반대말,예문,해석
중1-1,a,art.,"하나의, 한",one,,I have a dog.,나는 개 한 마리를 기른다.
중1-1,a,art.,"하나의, 한",one,,She bought a new bag.,그녀는 새 가방을 하나 샀다.
중1-1,a,art.,"하나의, 한",one,,A boy is waiting outside.,한 소년이 밖에서 기다리고 있다.
중1-1,a few,phr.,"조금, 약간의 (몇 개의)",some,,I have a few questions.,나는 질문이 몇 개 있다.
중1-1,a few,phr.,"조금, 약간의 (몇 개의)",some,,A few students were absent today.,오늘 몇몇 학생이 결석했다.
중1-1,a few,phr.,"조금, 약간의 (몇 개의)",some,,We stayed there for a few days.,우리는 그곳에 며칠 머물렀다.
중1-1,a lot of,phr.,많은,"many, much, lots of",,There are a lot of books here.,여기에 책이 많이 있다.
중1-1,a lot of,phr.,많은,"many, much, lots of",,She has a lot of homework today.,그녀는 오늘 숙제가 많다.
중1-1,a lot of,phr.,많은,"many, much, lots of",,A lot of people came to the festival.,많은 사람들이 축제에 왔다.
중1-1,ability,n.,능력,skill,,She has the ability to lead.,그녀는 이끄는 능력이 있다.
중1-1,ability,n.,능력,skill,,Birds have the ability to fly long distances.,새는 먼 거리를 나는 능력이 있다.
중1-1,ability,n.,능력,skill,,Reading improves your thinking ability.,독서는 사고 능력을 향상시킨다.
중1-1,about,"prep., adv.",~에 대하여,"on, regarding",,We talked about the movie.,우리는 그 영화에 대해 이야기했다.
중1-1,about,"prep., adv.",~에 대하여,"on, regarding",,This book is about space.,이 책은 우주에 대한 것이다.
중1-1,about,"prep., adv.",~에 대하여,"on, regarding",,Tell me about your family.,너의 가족에 대해 말해 줘.
중1-1,about,"prep., adv.","약, 대략","around, roughly",,It takes about ten minutes.,그것은 약 10분 걸린다.
중1-1,about,"prep., adv.","약, 대략","around, roughly",,There were about thirty students.,학생이 서른 명쯤 있었다.
중1-1,above,prep.,~ 위에,over,below,The lamp hangs above the table.,등이 탁자 위에 걸려 있다.
중1-1,above,prep.,~ 위에,over,below,Birds flew above the trees.,새들이 나무 위로 날아갔다.
중1-1,above,prep.,~ 위에,over,below,My room is above the kitchen.,내 방은 부엌 위에 있다.
중1-1,across,prep.,"~을 가로질러, 건너서",over,,We walked across the bridge.,우리는 다리를 건너 걸었다.
중1-1,across,prep.,"~을 가로질러, 건너서",over,,The bank is across the street.,은행은 길 건너에 있다.
중1-1,across,prep.,"~을 가로질러, 건너서",over,,She swam across the river.,그녀는 강을 헤엄쳐 건넜다.
중1-1,act,v.,행동하다,behave,,You should act quickly.,너는 빨리 행동해야 한다.
중1-1,act,v.,행동하다,behave,,He acted like a grown-up.,그는 어른처럼 행동했다.
중1-1,act,v.,연기하다,perform,,She acts in a school play.,그녀는 학교 연극에서 연기한다.
중1-1,act,v.,연기하다,perform,,He acted the part of a king.,그는 왕 역을 연기했다.
중1-1,add,v.,"더하다, 추가하다",put in,,Please add some sugar to the tea.,차에 설탕을 조금 넣어 주세요.
중1-1,add,v.,"더하다, 추가하다",put in,,He added his name to the list.,그는 명단에 자기 이름을 추가했다.
중1-1,add,v.,"더하다, 추가하다",put in,,She is adding water to the soup.,그녀는 국에 물을 더하고 있다.
중1-1,address,n.,주소,,,Write your address here.,여기에 주소를 쓰세요.
중1-1,address,n.,주소,,,I forgot her email address.,나는 그녀의 이메일 주소를 잊어버렸다.
중1-1,address,n.,주소,,,This address is wrong.,이 주소는 틀렸다.
중1-1,adult,n.,"어른, 성인",grown-up,,Adults pay ten dollars.,어른은 10달러를 낸다.
중1-1,adult,n.,"어른, 성인",grown-up,,An adult should help the child.,어른이 그 아이를 도와야 한다.
중1-1,adult,n.,"어른, 성인",grown-up,,She became an adult last year.,그녀는 작년에 성인이 되었다.
중1-1,aeroplane,n.,비행기,plane,,The aeroplane landed safely.,비행기가 안전하게 착륙했다.
중1-1,aeroplane,n.,비행기,plane,,We watched an aeroplane in the sky.,우리는 하늘의 비행기를 보았다.
중1-1,aeroplane,n.,비행기,plane,,This aeroplane flies to London.,이 비행기는 런던으로 간다.
중1-1,afraid,adj.,"두려워하는, 무서워하는","scared, frightened",brave,The little boy looked afraid.,어린 소년은 무서워 보였다.
중1-1,afraid,adj.,"두려워하는, 무서워하는","scared, frightened",brave,Do not be afraid to ask questions.,질문하기를 두려워하지 마라.
중1-1,afraid,adj.,"두려워하는, 무서워하는","scared, frightened",brave,I was afraid of the dark as a child.,나는 어릴 때 어둠을 무서워했다.
중1-1,after,prep.,"~ 뒤에, ~ 후에",following,before,We play soccer after school.,우리는 방과 후에 축구를 한다.
중1-1,after,prep.,"~ 뒤에, ~ 후에",following,before,He came home after dinner.,그는 저녁 후에 집에 왔다.
중1-1,after,prep.,"~ 뒤에, ~ 후에",following,before,Wash your hands after work.,일이 끝나면 손을 씻어라.
중1-1,afternoon,n.,오후,,,I have a class this afternoon.,나는 오늘 오후에 수업이 있다.
중1-1,afternoon,n.,오후,,,We played soccer in the afternoon.,우리는 오후에 축구를 했다.
중1-1,afternoon,n.,오후,,,The store closes on Sunday afternoon.,그 가게는 일요일 오후에 문을 닫는다.
중1-1,again,adv.,"다시, 또",once more,,Please say it again.,다시 한 번 말해 주세요.
중1-1,again,adv.,"다시, 또",once more,,She read the letter again.,그녀는 편지를 다시 읽었다.
중1-1,again,adv.,"다시, 또",once more,,Try again tomorrow morning.,내일 아침에 다시 해 봐라.
중1-1,against,prep.,"~에 반대하여, ~에 맞서",opposed to,,We played against a strong team.,우리는 강한 팀과 맞붙었다.
중1-1,against,prep.,"~에 반대하여, ~에 맞서",opposed to,,She is against the new rule.,그녀는 새 규칙에 반대한다.
중1-1,against,prep.,"~에 반대하여, ~에 맞서",opposed to,,Many people voted against the plan.,많은 사람이 그 계획에 반대했다.
중1-1,age,n.,나이,,,What is your age?,나이가 어떻게 되나요?
중1-1,age,n.,나이,,,Children of the same age play together.,같은 나이의 아이들이 함께 논다.
중1-1,age,n.,나이,,,He started school at the age of six.,그는 여섯 살에 학교에 들어갔다.
중1-1,ago,adv.,~ 전에,,,I met her two years ago.,나는 2년 전에 그녀를 만났다.
중1-1,ago,adv.,~ 전에,,,He left a moment ago.,그는 조금 전에 떠났다.
중1-1,ago,adv.,~ 전에,,,We moved here long ago.,우리는 오래전에 여기로 이사했다.
중1-1,agree,v.,동의하다,accept,"argue, conflict",I agree with your idea.,나는 네 생각에 동의한다.
중1-1,agree,v.,동의하다,accept,"argue, conflict",Everyone agreed to the new plan.,모두가 새 계획에 동의했다.
중1-1,agree,v.,동의하다,accept,"argue, conflict",My parents did not agree at first.,부모님은 처음에는 동의하지 않으셨다.
중1-1,ahead,adv.,"앞으로, 앞에",,,The car ahead stopped suddenly.,앞에 있는 차가 갑자기 멈췄다.
중1-1,ahead,adv.,"앞으로, 앞에",,,The bus stop is just ahead.,버스 정류장은 바로 앞이다.
중1-1,ahead,adv.,"앞으로, 앞에",,,She looked ahead and smiled.,그녀는 앞을 보고 미소 지었다.
중1-1,air,n.,공기,atmosphere,,The air is fresh in the morning.,아침에는 공기가 신선하다.
중1-1,air,n.,공기,atmosphere,,Open the window for fresh air.,신선한 공기를 위해 창문을 열어라.
중1-1,air,n.,공기,atmosphere,,Plants clean the air.,식물은 공기를 깨끗하게 한다.
중1-1,airplane,n.,비행기,plane,,The airplane takes off at noon.,비행기는 정오에 이륙한다.
중1-1,airplane,n.,비행기,plane,,I have never taken an airplane.,나는 비행기를 타 본 적이 없다.
중1-1,airplane,n.,비행기,plane,,An airplane is faster than a train.,비행기는 기차보다 빠르다.
중1-1,album,n.,"앨범, 사진첩",,,She showed me her photo album.,그녀는 나에게 사진첩을 보여 주었다.
중1-1,album,n.,"앨범, 사진첩",,,The band released a new album.,그 밴드는 새 앨범을 냈다.
중1-1,album,n.,"앨범, 사진첩",,,I keep old pictures in this album.,나는 이 앨범에 옛 사진을 보관한다.
중1-1,all,adj.,"모든, 전부의",,none,All students must come.,모든 학생이 와야 한다.
중1-1,all,adj.,"모든, 전부의",,none,She ate all the bread.,그녀는 빵을 전부 먹었다.
중1-1,all,adj.,"모든, 전부의",,none,We waited all day.,우리는 하루 종일 기다렸다.
중1-1,almost,adv.,거의,nearly,,I almost missed the bus.,나는 버스를 놓칠 뻔했다.
중1-1,almost,adv.,거의,nearly,,The work is almost done.,그 일은 거의 끝났다.
중1-1,almost,adv.,거의,nearly,,Almost every student came.,거의 모든 학생이 왔다.
중1-1,alone,"adj., adv.","혼자, 홀로",by oneself,together,She lives alone in Seoul.,그녀는 서울에서 혼자 산다.
중1-1,alone,"adj., adv.","혼자, 홀로",by oneself,together,I do not like eating alone.,나는 혼자 먹는 것을 좋아하지 않는다.
중1-1,alone,"adj., adv.","혼자, 홀로",by oneself,together,He walked home alone.,그는 혼자 집으로 걸어갔다.
중1-1,along,prep.,~을 따라,,,We walked along the river.,우리는 강을 따라 걸었다.
중1-1,along,prep.,~을 따라,,,Trees grow along the road.,나무들이 길을 따라 자란다.
중1-1,along,prep.,~을 따라,,,She ran along the beach.,그녀는 해변을 따라 달렸다.
중1-1,already,adv.,"이미, 벌써",,,The bus has already left.,버스는 이미 떠났다.
중1-1,already,adv.,"이미, 벌써",,,I already finished my homework.,나는 벌써 숙제를 끝냈다.
중1-1,already,adv.,"이미, 벌써",,,It is already dark outside.,밖은 벌써 어둡다.
중1-1,alright,adj.,괜찮은,okay,,Are you alright?,너 괜찮니?
중1-1,alright,adj.,괜찮은,okay,,Everything will be alright.,모든 것이 괜찮아질 거야.
중1-1,alright,adj.,괜찮은,okay,,"The food was alright, not great.",음식은 괜찮았지만 훌륭하지는 않았다.
중1-1,also,adv.,"또한, ~도",too,,She also likes music.,그녀도 음악을 좋아한다.
중1-1,also,adv.,"또한, ~도",too,,We also visited the museum.,우리는 박물관도 방문했다.
중1-1,also,adv.,"또한, ~도",too,,He can also speak Chinese.,그는 중국어도 할 수 있다.
중1-1,always,adv.,"항상, 언제나",all the time,never,He always gets up early.,그는 항상 일찍 일어난다.
중1-1,always,adv.,"항상, 언제나",all the time,never,She is always kind to me.,그녀는 나에게 언제나 친절하다.
중1-1,always,adv.,"항상, 언제나",all the time,never,I always take the same bus.,나는 늘 같은 버스를 탄다.
중1-1,amazing,adj.,"놀라운, 굉장한","incredible, wonderful",,The view was amazing.,그 경치는 놀라웠다.
중1-1,amazing,adj.,"놀라운, 굉장한","incredible, wonderful",,She did an amazing job.,그녀는 굉장한 일을 해냈다.
중1-1,amazing,adj.,"놀라운, 굉장한","incredible, wonderful",,It is amazing how fast he runs.,그가 얼마나 빨리 달리는지 놀랍다.
중1-1,and,conj.,"그리고, ~와",,,I like apples and pears.,나는 사과와 배를 좋아한다.
중1-1,and,conj.,"그리고, ~와",,,She sang and danced.,그녀는 노래하고 춤췄다.
중1-1,and,conj.,"그리고, ~와",,,Bring a pen and a notebook.,펜과 공책을 가져와라.
