번호,단어,뜻
1,perspective,"관점, 시각, 견해, 원근법, 전망"
2,potential,"가능성, 잠재력; 잠재적인, 가능한, 가능성이 있는"
3,capacity,"역량, 능력, 수용력, (수) 용량, 잠재력, 수용 인원"
4,relevant,"관련 있는, 유의미한, 적절한"
5,distinct,"독특한, 뚜렷한, 명백한, 독립된, 별개의, 뚜렷이 구별되는, 고유한"
6,fundamental,"원리, 기초; 기본적인, 근본적인, 매우 중요한, 필수적인, 핵심적인"
7,generate,"발생시키다, 생성하다, 만들어 내다, 창출하다, 일으키다"
8,identify,"파악하다, 확인하다, 식별하다, 알아내다, 인식하다, 발견하다, 분간하다, 밝히다, 동일시하다, 규명하다"
9,cognitive,"인지의, 인지적인, 인식의"
10,conduct,"(특정한 활동을) 하다, 수행하다, 지휘하다, (전기를) 전도하다; 행동, 범위"
11,context,"맥락, 상황, 환경"
12,engage in,"~에 참여하다, ~에 관여하다,  ~을 수행하다"
13,exceed,"초과하다, 능가하다, 넘어서다, 뛰어넘다"
14,perceive,"인식[인지]하다, 지각하다"
15,interpret,해석하다
16,phenomenon,현상
17,alternative,"대안, 대체물, 대체품,  대안적인, 다른, 대체의"
18,application,"적용, 신청, 지원, 지원서, 응용, 앱"
19,assume,"가정하다, 추정[상정]하다, (성질·양상을) 띠다, (자세를) 취하다, (책임 등을) 지다"
20,domain,"분야, 영역, 범위"
21,property,"재산, 소유물, 속성, 성질, 특성"
22,reinforce,"강화하다, 보강하다"
23,assumption,"가정, 추정"
24,define,"정의하다, 규정하다"
25,feature,"특징으로 하다; 특정 요소, 특징, 특색, 특별"
26,hypothesis,"가설, 가정, 추정"
27,initially,"처음에, 초기에"
28,maintain,"유지하다, 주장하다"
29,norm,"규범, 일반적인 것, 표준, 기준"
30,perception,"지각, 인식, 인지"
31,alter,"변경[변형]하다, 개조하다, 고치다, 바꾸다, 변화시키다, 수정하다"
32,boundary,"경계(선), 한계(선), 영역"
33,construct,"건설하다, 제작하다, 구성하다, 짓다, 건축하다, 구축하다, 세우다; 구성 개념"
34,indicate,"보여주다, 나타내다, 가리키다, 표시하다"
35,notion,"개념, 생각, 관념"
36,observe,"관찰하다, 준수하다, (논평·의견을) 말하다, (관찰을 통해) 인식하다, 알다"
37,refer to,"~을 언급하다, ~을 의미하다, ~을 가리키다, ~을 일컫다, ~을 지칭하다, ~을 말하다"
38,address,"(어려운 문제 등을) 다루다, 처리하다, 해결하다, 대상으로 하다, 대응[대처]하다, 건네다, 보내다"
39,appropriate,"적절한, 적합한; 도용하다"
40,emphasis,"강조, 강조점, 주안점, 중점, 역점"
41,beneficial,"유익한, 이로운"
42,capture,"포착[포집]하다, 담아내다, 획득하다, 손에 넣다, 사로잡다"
43,conflict,"상충하다; 갈등, 분쟁, 충돌, 상충"
44,consequence,"결과, 영향"
45,critical,"비판적인, 중대한, 대단히 중요한, 결정적인, 비평의"
46,decline,"감소하다, 거절하다, 떨어지다, 쇠퇴하다; 감소, 쇠퇴, 하락"
47,distinguish,"가르다, 구분하다, 구별하다, 특징짓다"
48,distribution,"분포, 분배, 유통, 배열, 배포, 배치"
49,emerge,"등장하다, 생기다, 나타나다, 드러나다, 밝혀지다, 판명되다, 발생하다"
50,facilitate,"용이하게 하다, 촉진하다, 가능하게 하다"
51,encounter,"맞닥뜨리다, 마주치다, 접하다, 부닥치다; (우연한) 만남, 조우"
52,estimate,"추정하다, 견적하다; 추정(치)"
53,expand,"확장하다, 넓히다, 늘어나다, 확대하다"
54,extend,"확장[확대]하다, 뻗치다, 연장하다, 연장되다, 늘리다, (~에) 이르다"
55,implication,"의미, 함축, 함의, 영향, 내포된 의미, 시사점, 암시"
56,insight,"통찰(력), 식견"
57,statement,"진술, 말, 언급, 명세표, 보고서, 성명"
